"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","26216","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sun Mar 08 03:42:58 UTC 2026","passed","Sun Mar 08 03:43:24 UTC 2026","","","",""
"","6845","TC-002.1: should register a new account with valid data","Authentication - Registration","Sun Mar 08 03:42:46 UTC 2026","passed","Sun Mar 08 03:42:53 UTC 2026","","","",""
"","60201","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sun Mar 08 03:45:29 UTC 2026","failed","Sun Mar 08 03:46:29 UTC 2026","","","",""
"","5347","TC-001.2: should display error message on invalid login","Authentication - Login","Sun Mar 08 03:42:06 UTC 2026","passed","Sun Mar 08 03:42:12 UTC 2026","","","",""
"","61357","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sun Mar 08 03:46:29 UTC 2026","failed","Sun Mar 08 03:47:30 UTC 2026","","","",""
"","6695","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sun Mar 08 03:42:12 UTC 2026","passed","Sun Mar 08 03:42:18 UTC 2026","","","",""
"","54883","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sun Mar 08 03:44:30 UTC 2026","passed","Sun Mar 08 03:45:25 UTC 2026","","","",""
"","37735","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sun Mar 08 03:43:52 UTC 2026","passed","Sun Mar 08 03:44:30 UTC 2026","","","",""
"","27293","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sun Mar 08 03:43:24 UTC 2026","passed","Sun Mar 08 03:43:52 UTC 2026","","","",""
"","6075","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sun Mar 08 03:41:43 UTC 2026","passed","Sun Mar 08 03:41:49 UTC 2026","","","",""
"","4330","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sun Mar 08 03:47:32 UTC 2026","passed","Sun Mar 08 03:47:36 UTC 2026","","","",""
"","1647","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sun Mar 08 03:42:53 UTC 2026","passed","Sun Mar 08 03:42:55 UTC 2026","","","",""
"","15520","TC-001.1: should login with valid credentials","Authentication - Login","Sun Mar 08 03:41:51 UTC 2026","passed","Sun Mar 08 03:42:06 UTC 2026","","","",""
"","22327","TC-003.1: should logout successfully","Authentication - Logout","Sun Mar 08 03:42:20 UTC 2026","passed","Sun Mar 08 03:42:42 UTC 2026","","","",""
