"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1426","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sat May 16 22:56:36 UTC 2026","passed","Sat May 16 22:56:37 UTC 2026","","","",""
"","5233","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sat May 16 22:55:48 UTC 2026","passed","Sat May 16 22:55:53 UTC 2026","","","",""
"","32133","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sat May 16 22:59:05 UTC 2026","failed","Sat May 16 22:59:37 UTC 2026","","","",""
"","7258","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sat May 16 22:55:17 UTC 2026","passed","Sat May 16 22:55:24 UTC 2026","","","",""
"","7202","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sat May 16 22:57:06 UTC 2026","failed","Sat May 16 22:57:13 UTC 2026","","","",""
"","4082","TC-001.2: should display error message on invalid login","Authentication - Login","Sat May 16 22:55:44 UTC 2026","passed","Sat May 16 22:55:48 UTC 2026","","","",""
"","38155","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sat May 16 22:58:26 UTC 2026","failed","Sat May 16 22:59:05 UTC 2026","","","",""
"","6691","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sat May 16 22:56:59 UTC 2026","failed","Sat May 16 22:57:06 UTC 2026","","","",""
"","6306","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sat May 16 22:57:13 UTC 2026","failed","Sat May 16 22:57:19 UTC 2026","","","",""
"","6781","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Sat May 16 22:56:48 UTC 2026","failed","Sat May 16 22:56:55 UTC 2026","","","",""
"","17395","TC-001.1: should login with valid credentials","Authentication - Login","Sat May 16 22:55:26 UTC 2026","passed","Sat May 16 22:55:44 UTC 2026","","","",""
"","32118","TC-003.1: should logout successfully","Authentication - Logout","Sat May 16 22:55:55 UTC 2026","passed","Sat May 16 22:56:27 UTC 2026","","","",""
"","5029","TC-002.1: should register a new account with valid data","Authentication - Registration","Sat May 16 22:56:30 UTC 2026","passed","Sat May 16 22:56:35 UTC 2026","","","",""
"","3861","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sat May 16 22:59:38 UTC 2026","passed","Sat May 16 22:59:42 UTC 2026","","","",""
"","62956","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sat May 16 22:57:19 UTC 2026","broken","Sat May 16 22:58:22 UTC 2026","","","",""
"","7408","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Sat May 16 22:56:41 UTC 2026","failed","Sat May 16 22:56:48 UTC 2026","","","",""
