"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4664","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Wed May 13 23:12:00 UTC 2026","passed","Wed May 13 23:12:04 UTC 2026","","","",""
"","28071","TC-003.1: should logout successfully","Authentication - Logout","Wed May 13 23:12:41 UTC 2026","passed","Wed May 13 23:13:09 UTC 2026","","","",""
"","4132","TC-001.2: should display error message on invalid login","Authentication - Login","Wed May 13 23:12:30 UTC 2026","passed","Wed May 13 23:12:34 UTC 2026","","","",""
"","6187","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Wed May 13 23:13:55 UTC 2026","failed","Wed May 13 23:14:01 UTC 2026","","","",""
"","3526","TC-007.1: User should search for a product successfully","Product Browsing & Search","Wed May 13 23:16:08 UTC 2026","passed","Wed May 13 23:16:12 UTC 2026","","","",""
"","6496","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Wed May 13 23:13:49 UTC 2026","failed","Wed May 13 23:13:55 UTC 2026","","","",""
"","5289","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Wed May 13 23:12:34 UTC 2026","passed","Wed May 13 23:12:39 UTC 2026","","","",""
"","1442","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Wed May 13 23:13:18 UTC 2026","passed","Wed May 13 23:13:20 UTC 2026","","","",""
"","61425","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Wed May 13 23:14:02 UTC 2026","broken","Wed May 13 23:15:03 UTC 2026","","","",""
"","6768","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Wed May 13 23:13:42 UTC 2026","failed","Wed May 13 23:13:49 UTC 2026","","","",""
"","24018","TC-001.1: should login with valid credentials","Authentication - Login","Wed May 13 23:12:06 UTC 2026","passed","Wed May 13 23:12:30 UTC 2026","","","",""
"","7815","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Wed May 13 23:13:24 UTC 2026","failed","Wed May 13 23:13:31 UTC 2026","","","",""
"","6691","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Wed May 13 23:13:32 UTC 2026","failed","Wed May 13 23:13:38 UTC 2026","","","",""
"","29116","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Wed May 13 23:15:38 UTC 2026","failed","Wed May 13 23:16:07 UTC 2026","","","",""
"","5568","TC-002.1: should register a new account with valid data","Authentication - Registration","Wed May 13 23:13:13 UTC 2026","passed","Wed May 13 23:13:18 UTC 2026","","","",""
"","30460","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Wed May 13 23:15:07 UTC 2026","failed","Wed May 13 23:15:38 UTC 2026","","","",""
