"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27495","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sun Mar 08 22:34:51 UTC 2026","passed","Sun Mar 08 22:35:18 UTC 2026","","","",""
"","54812","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sun Mar 08 22:38:48 UTC 2026","passed","Sun Mar 08 22:39:43 UTC 2026","","","",""
"","68875","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sun Mar 08 22:36:44 UTC 2026","passed","Sun Mar 08 22:37:53 UTC 2026","","","",""
"","5396","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sun Mar 08 22:32:37 UTC 2026","passed","Sun Mar 08 22:32:42 UTC 2026","","","",""
"","16351","TC-001.1: should login with valid credentials","Authentication - Login","Sun Mar 08 22:32:16 UTC 2026","passed","Sun Mar 08 22:32:33 UTC 2026","","","",""
"","52809","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sun Mar 08 22:35:51 UTC 2026","passed","Sun Mar 08 22:36:44 UTC 2026","","","",""
"","25897","TC-003.1: should logout successfully","Authentication - Logout","Sun Mar 08 22:32:44 UTC 2026","passed","Sun Mar 08 22:33:10 UTC 2026","","","",""
"","50713","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sun Mar 08 22:37:58 UTC 2026","passed","Sun Mar 08 22:38:48 UTC 2026","","","",""
"","5881","TC-002.1: should register a new account with valid data","Authentication - Registration","Sun Mar 08 22:33:14 UTC 2026","passed","Sun Mar 08 22:33:20 UTC 2026","","","",""
"","32937","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sun Mar 08 22:35:18 UTC 2026","passed","Sun Mar 08 22:35:51 UTC 2026","","","",""
"","3847","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sun Mar 08 22:39:45 UTC 2026","passed","Sun Mar 08 22:39:49 UTC 2026","","","",""
"","6986","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sun Mar 08 22:32:07 UTC 2026","passed","Sun Mar 08 22:32:14 UTC 2026","","","",""
"","39251","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Sun Mar 08 22:33:25 UTC 2026","passed","Sun Mar 08 22:34:04 UTC 2026","","","",""
"","42207","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Sun Mar 08 22:34:04 UTC 2026","passed","Sun Mar 08 22:34:47 UTC 2026","","","",""
"","1647","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sun Mar 08 22:33:20 UTC 2026","passed","Sun Mar 08 22:33:21 UTC 2026","","","",""
"","4220","TC-001.2: should display error message on invalid login","Authentication - Login","Sun Mar 08 22:32:33 UTC 2026","passed","Sun Mar 08 22:32:37 UTC 2026","","","",""
