"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","68139","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Mon Mar 09 22:42:12 UTC 2026","passed","Mon Mar 09 22:43:20 UTC 2026","","","",""
"","27190","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Mon Mar 09 22:40:18 UTC 2026","passed","Mon Mar 09 22:40:46 UTC 2026","","","",""
"","39003","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Mon Mar 09 22:38:53 UTC 2026","passed","Mon Mar 09 22:39:32 UTC 2026","","","",""
"","6910","TC-002.1: should register a new account with valid data","Authentication - Registration","Mon Mar 09 22:38:40 UTC 2026","passed","Mon Mar 09 22:38:47 UTC 2026","","","",""
"","5371","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Mon Mar 09 22:38:05 UTC 2026","passed","Mon Mar 09 22:38:10 UTC 2026","","","",""
"","24538","TC-003.1: should logout successfully","Authentication - Logout","Mon Mar 09 22:38:12 UTC 2026","passed","Mon Mar 09 22:38:36 UTC 2026","","","",""
"","4299","TC-001.2: should display error message on invalid login","Authentication - Login","Mon Mar 09 22:38:01 UTC 2026","passed","Mon Mar 09 22:38:05 UTC 2026","","","",""
"","6101","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Mon Mar 09 22:37:35 UTC 2026","passed","Mon Mar 09 22:37:41 UTC 2026","","","",""
"","33153","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Mon Mar 09 22:40:46 UTC 2026","passed","Mon Mar 09 22:41:19 UTC 2026","","","",""
"","42513","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Mon Mar 09 22:39:32 UTC 2026","passed","Mon Mar 09 22:40:14 UTC 2026","","","",""
"","52500","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Mon Mar 09 22:41:19 UTC 2026","passed","Mon Mar 09 22:42:11 UTC 2026","","","",""
"","59878","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Mon Mar 09 22:44:15 UTC 2026","passed","Mon Mar 09 22:45:15 UTC 2026","","","",""
"","1668","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Mon Mar 09 22:38:47 UTC 2026","passed","Mon Mar 09 22:38:49 UTC 2026","","","",""
"","17640","TC-001.1: should login with valid credentials","Authentication - Login","Mon Mar 09 22:37:43 UTC 2026","passed","Mon Mar 09 22:38:01 UTC 2026","","","",""
"","3801","TC-007.1: User should search for a product successfully","Product Browsing & Search","Mon Mar 09 22:45:17 UTC 2026","passed","Mon Mar 09 22:45:21 UTC 2026","","","",""
"","51235","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Mon Mar 09 22:43:24 UTC 2026","passed","Mon Mar 09 22:44:15 UTC 2026","","","",""
