"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6870","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sun May 24 23:04:47 UTC 2026","failed","Sun May 24 23:04:54 UTC 2026","","","",""
"","4232","TC-001.2: should display error message on invalid login","Authentication - Login","Sun May 24 23:03:34 UTC 2026","passed","Sun May 24 23:03:38 UTC 2026","","","",""
"","5631","TC-002.1: should register a new account with valid data","Authentication - Registration","Sun May 24 23:04:18 UTC 2026","passed","Sun May 24 23:04:24 UTC 2026","","","",""
"","7516","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Sun May 24 23:04:29 UTC 2026","failed","Sun May 24 23:04:37 UTC 2026","","","",""
"","29343","TC-003.1: should logout successfully","Authentication - Logout","Sun May 24 23:03:45 UTC 2026","passed","Sun May 24 23:04:14 UTC 2026","","","",""
"","6355","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sun May 24 23:05:01 UTC 2026","failed","Sun May 24 23:05:07 UTC 2026","","","",""
"","60976","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sun May 24 23:05:07 UTC 2026","broken","Sun May 24 23:06:08 UTC 2026","","","",""
"","5291","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sun May 24 23:03:38 UTC 2026","passed","Sun May 24 23:03:43 UTC 2026","","","",""
"","3836","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sun May 24 23:07:12 UTC 2026","passed","Sun May 24 23:07:16 UTC 2026","","","",""
"","6851","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Sun May 24 23:04:37 UTC 2026","failed","Sun May 24 23:04:43 UTC 2026","","","",""
"","6248","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sun May 24 23:04:54 UTC 2026","failed","Sun May 24 23:05:01 UTC 2026","","","",""
"","28509","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sun May 24 23:06:42 UTC 2026","failed","Sun May 24 23:07:10 UTC 2026","","","",""
"","1586","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sun May 24 23:04:24 UTC 2026","passed","Sun May 24 23:04:25 UTC 2026","","","",""
"","5288","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sun May 24 23:03:07 UTC 2026","passed","Sun May 24 23:03:12 UTC 2026","","","",""
"","29825","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sun May 24 23:06:12 UTC 2026","failed","Sun May 24 23:06:42 UTC 2026","","","",""
"","20261","TC-001.1: should login with valid credentials","Authentication - Login","Sun May 24 23:03:14 UTC 2026","passed","Sun May 24 23:03:34 UTC 2026","","","",""
