"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34674","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Fri Apr 03 22:44:59 UTC 2026","failed","Fri Apr 03 22:45:33 UTC 2026","","","",""
"","6450","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Fri Apr 03 22:43:40 UTC 2026","failed","Fri Apr 03 22:43:46 UTC 2026","","","",""
"","3857","TC-007.1: User should search for a product successfully","Product Browsing & Search","Fri Apr 03 22:46:06 UTC 2026","passed","Fri Apr 03 22:46:10 UTC 2026","","","",""
"","61386","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Fri Apr 03 22:43:53 UTC 2026","broken","Fri Apr 03 22:44:54 UTC 2026","","","",""
"","7683","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Fri Apr 03 22:43:14 UTC 2026","failed","Fri Apr 03 22:43:22 UTC 2026","","","",""
"","6420","TC-002.1: should register a new account with valid data","Authentication - Registration","Fri Apr 03 22:43:02 UTC 2026","passed","Fri Apr 03 22:43:09 UTC 2026","","","",""
"","5614","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Fri Apr 03 22:41:42 UTC 2026","passed","Fri Apr 03 22:41:48 UTC 2026","","","",""
"","32583","TC-003.1: should logout successfully","Authentication - Logout","Fri Apr 03 22:42:26 UTC 2026","passed","Fri Apr 03 22:42:58 UTC 2026","","","",""
"","6975","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Fri Apr 03 22:43:33 UTC 2026","failed","Fri Apr 03 22:43:40 UTC 2026","","","",""
"","5437","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Fri Apr 03 22:42:18 UTC 2026","passed","Fri Apr 03 22:42:24 UTC 2026","","","",""
"","24414","TC-001.1: should login with valid credentials","Authentication - Login","Fri Apr 03 22:41:49 UTC 2026","passed","Fri Apr 03 22:42:14 UTC 2026","","","",""
"","4451","TC-001.2: should display error message on invalid login","Authentication - Login","Fri Apr 03 22:42:14 UTC 2026","passed","Fri Apr 03 22:42:18 UTC 2026","","","",""
"","1759","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Fri Apr 03 22:43:09 UTC 2026","passed","Fri Apr 03 22:43:10 UTC 2026","","","",""
"","6332","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Fri Apr 03 22:43:46 UTC 2026","failed","Fri Apr 03 22:43:53 UTC 2026","","","",""
"","31330","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Fri Apr 03 22:45:33 UTC 2026","failed","Fri Apr 03 22:46:05 UTC 2026","","","",""
"","6969","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Fri Apr 03 22:43:22 UTC 2026","failed","Fri Apr 03 22:43:29 UTC 2026","","","",""
