"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4410","TC-001.2: should display error message on invalid login","Authentication - Login","Sun Mar 29 22:40:03 UTC 2026","passed","Sun Mar 29 22:40:08 UTC 2026","","","",""
"","69387","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sun Mar 29 22:41:39 UTC 2026","passed","Sun Mar 29 22:42:49 UTC 2026","","","",""
"","21296","TC-001.1: should login with valid credentials","Authentication - Login","Sun Mar 29 22:39:42 UTC 2026","passed","Sun Mar 29 22:40:03 UTC 2026","","","",""
"","5839","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sun Mar 29 22:39:34 UTC 2026","passed","Sun Mar 29 22:39:40 UTC 2026","","","",""
"","5549","TC-002.1: should register a new account with valid data","Authentication - Registration","Sun Mar 29 22:40:50 UTC 2026","passed","Sun Mar 29 22:40:55 UTC 2026","","","",""
"","6280","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sun Mar 29 22:41:27 UTC 2026","failed","Sun Mar 29 22:41:33 UTC 2026","","","",""
"","30950","TC-003.1: should logout successfully","Authentication - Logout","Sun Mar 29 22:40:15 UTC 2026","passed","Sun Mar 29 22:40:46 UTC 2026","","","",""
"","33958","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sun Mar 29 22:42:53 UTC 2026","failed","Sun Mar 29 22:43:27 UTC 2026","","","",""
"","1742","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sun Mar 29 22:40:55 UTC 2026","passed","Sun Mar 29 22:40:57 UTC 2026","","","",""
"","5415","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sun Mar 29 22:40:08 UTC 2026","passed","Sun Mar 29 22:40:13 UTC 2026","","","",""
"","3758","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sun Mar 29 22:43:59 UTC 2026","passed","Sun Mar 29 22:44:02 UTC 2026","","","",""
"","30111","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sun Mar 29 22:43:27 UTC 2026","failed","Sun Mar 29 22:43:57 UTC 2026","","","",""
"","6919","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Sun Mar 29 22:41:09 UTC 2026","failed","Sun Mar 29 22:41:16 UTC 2026","","","",""
"","7892","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Sun Mar 29 22:41:01 UTC 2026","failed","Sun Mar 29 22:41:09 UTC 2026","","","",""
"","7010","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sun Mar 29 22:41:20 UTC 2026","failed","Sun Mar 29 22:41:27 UTC 2026","","","",""
"","6224","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sun Mar 29 22:41:33 UTC 2026","failed","Sun Mar 29 22:41:39 UTC 2026","","","",""
