"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","22931","TC-001.1: should login with valid credentials","Authentication - Login","Fri Mar 20 22:36:47 UTC 2026","passed","Fri Mar 20 22:37:10 UTC 2026","","","",""
"","4790","TC-001.2: should display error message on invalid login","Authentication - Login","Fri Mar 20 22:37:10 UTC 2026","passed","Fri Mar 20 22:37:15 UTC 2026","","","",""
"","29327","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Fri Mar 20 22:39:31 UTC 2026","passed","Fri Mar 20 22:40:00 UTC 2026","","","",""
"","33486","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Fri Mar 20 22:40:01 UTC 2026","passed","Fri Mar 20 22:40:34 UTC 2026","","","",""
"","51952","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Fri Mar 20 22:40:34 UTC 2026","passed","Fri Mar 20 22:41:26 UTC 2026","","","",""
"","3789","TC-007.1: User should search for a product successfully","Product Browsing & Search","Fri Mar 20 22:44:27 UTC 2026","passed","Fri Mar 20 22:44:31 UTC 2026","","","",""
"","67919","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Fri Mar 20 22:41:26 UTC 2026","passed","Fri Mar 20 22:42:34 UTC 2026","","","",""
"","1515","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Fri Mar 20 22:38:00 UTC 2026","passed","Fri Mar 20 22:38:01 UTC 2026","","","",""
"","42484","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Fri Mar 20 22:38:44 UTC 2026","passed","Fri Mar 20 22:39:27 UTC 2026","","","",""
"","55126","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Fri Mar 20 22:43:30 UTC 2026","failed","Fri Mar 20 22:44:26 UTC 2026","","","",""
"","28683","TC-003.1: should logout successfully","Authentication - Logout","Fri Mar 20 22:37:22 UTC 2026","passed","Fri Mar 20 22:37:50 UTC 2026","","","",""
"","5482","TC-002.1: should register a new account with valid data","Authentication - Registration","Fri Mar 20 22:37:54 UTC 2026","passed","Fri Mar 20 22:38:00 UTC 2026","","","",""
"","39259","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Fri Mar 20 22:38:05 UTC 2026","passed","Fri Mar 20 22:38:44 UTC 2026","","","",""
"","4931","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Fri Mar 20 22:36:40 UTC 2026","passed","Fri Mar 20 22:36:45 UTC 2026","","","",""
"","5535","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Fri Mar 20 22:37:15 UTC 2026","passed","Fri Mar 20 22:37:20 UTC 2026","","","",""
"","52017","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Fri Mar 20 22:42:38 UTC 2026","failed","Fri Mar 20 22:43:30 UTC 2026","","","",""
