"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1636","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sat Mar 07 21:21:00 UTC 2026","passed","Sat Mar 07 21:21:02 UTC 2026","","","",""
"","54231","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sat Mar 07 21:22:38 UTC 2026","passed","Sat Mar 07 21:23:33 UTC 2026","","","",""
"","8492","TC-003.1: should logout successfully","Authentication - Logout","Sat Mar 07 21:20:42 UTC 2026","passed","Sat Mar 07 21:20:50 UTC 2026","","","",""
"","5739","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sat Mar 07 21:20:14 UTC 2026","passed","Sat Mar 07 21:20:19 UTC 2026","","","",""
"","37890","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sat Mar 07 21:22:00 UTC 2026","passed","Sat Mar 07 21:22:38 UTC 2026","","","",""
"","4282","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sat Mar 07 21:24:29 UTC 2026","passed","Sat Mar 07 21:24:33 UTC 2026","","","",""
"","5990","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sat Mar 07 21:20:34 UTC 2026","passed","Sat Mar 07 21:20:40 UTC 2026","","","",""
"","27776","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sat Mar 07 21:23:59 UTC 2026","passed","Sat Mar 07 21:24:27 UTC 2026","","","",""
"","3787","TC-001.2: should display error message on invalid login","Authentication - Login","Sat Mar 07 21:20:31 UTC 2026","passed","Sat Mar 07 21:20:34 UTC 2026","","","",""
"","22775","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sat Mar 07 21:23:37 UTC 2026","passed","Sat Mar 07 21:23:59 UTC 2026","","","",""
"","26220","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sat Mar 07 21:21:05 UTC 2026","passed","Sat Mar 07 21:21:31 UTC 2026","","","",""
"","28811","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sat Mar 07 21:21:31 UTC 2026","passed","Sat Mar 07 21:22:00 UTC 2026","","","",""
"","9543","TC-001.1: should login with valid credentials","Authentication - Login","Sat Mar 07 21:20:21 UTC 2026","passed","Sat Mar 07 21:20:31 UTC 2026","","","",""
"","5961","TC-002.1: should register a new account with valid data","Authentication - Registration","Sat Mar 07 21:20:54 UTC 2026","passed","Sat Mar 07 21:21:00 UTC 2026","","","",""
