"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6400","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Tue May 05 23:02:49 UTC 2026","failed","Tue May 05 23:02:56 UTC 2026","","","",""
"","29045","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Tue May 05 23:04:32 UTC 2026","failed","Tue May 05 23:05:01 UTC 2026","","","",""
"","61021","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Tue May 05 23:02:56 UTC 2026","broken","Tue May 05 23:03:57 UTC 2026","","","",""
"","6825","TC-002.1: should register a new account with valid data","Authentication - Registration","Tue May 05 23:02:05 UTC 2026","passed","Tue May 05 23:02:12 UTC 2026","","","",""
"","5372","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Tue May 05 23:01:23 UTC 2026","passed","Tue May 05 23:01:28 UTC 2026","","","",""
"","7640","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Tue May 05 23:02:17 UTC 2026","failed","Tue May 05 23:02:25 UTC 2026","","","",""
"","5814","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Tue May 05 23:00:50 UTC 2026","passed","Tue May 05 23:00:56 UTC 2026","","","",""
"","30926","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Tue May 05 23:04:01 UTC 2026","failed","Tue May 05 23:04:32 UTC 2026","","","",""
"","20921","TC-001.1: should login with valid credentials","Authentication - Login","Tue May 05 23:00:58 UTC 2026","passed","Tue May 05 23:01:19 UTC 2026","","","",""
"","6297","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Tue May 05 23:02:43 UTC 2026","failed","Tue May 05 23:02:49 UTC 2026","","","",""
"","1882","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Tue May 05 23:02:12 UTC 2026","passed","Tue May 05 23:02:14 UTC 2026","","","",""
"","7125","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Tue May 05 23:02:36 UTC 2026","failed","Tue May 05 23:02:43 UTC 2026","","","",""
"","4058","TC-007.1: User should search for a product successfully","Product Browsing & Search","Tue May 05 23:05:02 UTC 2026","passed","Tue May 05 23:05:06 UTC 2026","","","",""
"","6876","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Tue May 05 23:02:25 UTC 2026","failed","Tue May 05 23:02:32 UTC 2026","","","",""
"","30800","TC-003.1: should logout successfully","Authentication - Logout","Tue May 05 23:01:30 UTC 2026","passed","Tue May 05 23:02:01 UTC 2026","","","",""
"","4193","TC-001.2: should display error message on invalid login","Authentication - Login","Tue May 05 23:01:19 UTC 2026","passed","Tue May 05 23:01:23 UTC 2026","","","",""
