"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27292","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Tue Mar 24 22:42:43 UTC 2026","passed","Tue Mar 24 22:43:10 UTC 2026","","","",""
"","52586","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Tue Mar 24 22:43:43 UTC 2026","passed","Tue Mar 24 22:44:36 UTC 2026","","","",""
"","56878","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Tue Mar 24 22:46:58 UTC 2026","failed","Tue Mar 24 22:47:55 UTC 2026","","","",""
"","43003","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Tue Mar 24 22:41:56 UTC 2026","passed","Tue Mar 24 22:42:39 UTC 2026","","","",""
"","23559","TC-001.1: should login with valid credentials","Authentication - Login","Tue Mar 24 22:39:57 UTC 2026","passed","Tue Mar 24 22:40:21 UTC 2026","","","",""
"","5393","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Tue Mar 24 22:40:25 UTC 2026","passed","Tue Mar 24 22:40:30 UTC 2026","","","",""
"","68248","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Tue Mar 24 22:45:50 UTC 2026","passed","Tue Mar 24 22:46:58 UTC 2026","","","",""
"","33011","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Tue Mar 24 22:43:10 UTC 2026","passed","Tue Mar 24 22:43:43 UTC 2026","","","",""
"","3817","TC-007.1: User should search for a product successfully","Product Browsing & Search","Tue Mar 24 22:47:57 UTC 2026","passed","Tue Mar 24 22:48:01 UTC 2026","","","",""
"","4224","TC-001.2: should display error message on invalid login","Authentication - Login","Tue Mar 24 22:40:21 UTC 2026","passed","Tue Mar 24 22:40:25 UTC 2026","","","",""
"","29200","TC-003.1: should logout successfully","Authentication - Logout","Tue Mar 24 22:40:32 UTC 2026","passed","Tue Mar 24 22:41:01 UTC 2026","","","",""
"","6141","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Tue Mar 24 22:39:49 UTC 2026","passed","Tue Mar 24 22:39:55 UTC 2026","","","",""
"","6257","TC-002.1: should register a new account with valid data","Authentication - Registration","Tue Mar 24 22:41:05 UTC 2026","passed","Tue Mar 24 22:41:11 UTC 2026","","","",""
"","39093","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Tue Mar 24 22:41:17 UTC 2026","passed","Tue Mar 24 22:41:56 UTC 2026","","","",""
"","1698","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Tue Mar 24 22:41:11 UTC 2026","passed","Tue Mar 24 22:41:13 UTC 2026","","","",""
"","69255","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Tue Mar 24 22:44:36 UTC 2026","passed","Tue Mar 24 22:45:45 UTC 2026","","","",""
