"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5290","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Mon May 18 22:28:51 UTC 2026","passed","Mon May 18 22:28:56 UTC 2026","","","",""
"","28458","TC-003.1: should logout successfully","Authentication - Logout","Mon May 18 22:29:30 UTC 2026","passed","Mon May 18 22:29:58 UTC 2026","","","",""
"","6216","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Mon May 18 22:30:44 UTC 2026","failed","Mon May 18 22:30:50 UTC 2026","","","",""
"","21110","TC-001.1: should login with valid credentials","Authentication - Login","Mon May 18 22:28:58 UTC 2026","passed","Mon May 18 22:29:19 UTC 2026","","","",""
"","5415","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Mon May 18 22:29:23 UTC 2026","passed","Mon May 18 22:29:28 UTC 2026","","","",""
"","59836","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Mon May 18 22:30:50 UTC 2026","broken","Mon May 18 22:31:50 UTC 2026","","","",""
"","4255","TC-001.2: should display error message on invalid login","Authentication - Login","Mon May 18 22:29:19 UTC 2026","passed","Mon May 18 22:29:23 UTC 2026","","","",""
"","38163","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Mon May 18 22:31:53 UTC 2026","failed","Mon May 18 22:32:31 UTC 2026","","","",""
"","7872","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Mon May 18 22:30:12 UTC 2026","failed","Mon May 18 22:30:20 UTC 2026","","","",""
"","1493","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Mon May 18 22:30:08 UTC 2026","passed","Mon May 18 22:30:09 UTC 2026","","","",""
"","6665","TC-002.1: should register a new account with valid data","Authentication - Registration","Mon May 18 22:30:01 UTC 2026","passed","Mon May 18 22:30:08 UTC 2026","","","",""
"","6846","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Mon May 18 22:30:20 UTC 2026","failed","Mon May 18 22:30:27 UTC 2026","","","",""
"","29011","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Mon May 18 22:32:31 UTC 2026","failed","Mon May 18 22:33:00 UTC 2026","","","",""
"","3498","TC-007.1: User should search for a product successfully","Product Browsing & Search","Mon May 18 22:33:02 UTC 2026","passed","Mon May 18 22:33:05 UTC 2026","","","",""
"","6378","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Mon May 18 22:30:37 UTC 2026","failed","Mon May 18 22:30:44 UTC 2026","","","",""
"","6767","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Mon May 18 22:30:30 UTC 2026","failed","Mon May 18 22:30:37 UTC 2026","","","",""
