"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32795","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Mon Mar 09 02:52:33 UTC 2026","passed","Mon Mar 09 02:53:06 UTC 2026","","","",""
"","38736","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Mon Mar 09 02:50:41 UTC 2026","passed","Mon Mar 09 02:51:20 UTC 2026","","","",""
"","42470","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Mon Mar 09 02:51:20 UTC 2026","passed","Mon Mar 09 02:52:02 UTC 2026","","","",""
"","67348","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Mon Mar 09 02:53:58 UTC 2026","passed","Mon Mar 09 02:55:06 UTC 2026","","","",""
"","16506","TC-001.1: should login with valid credentials","Authentication - Login","Mon Mar 09 02:49:36 UTC 2026","passed","Mon Mar 09 02:49:52 UTC 2026","","","",""
"","52135","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Mon Mar 09 02:53:06 UTC 2026","passed","Mon Mar 09 02:53:58 UTC 2026","","","",""
"","4902","TC-002.1: should register a new account with valid data","Authentication - Registration","Mon Mar 09 02:50:31 UTC 2026","passed","Mon Mar 09 02:50:36 UTC 2026","","","",""
"","23354","TC-003.1: should logout successfully","Authentication - Logout","Mon Mar 09 02:50:03 UTC 2026","passed","Mon Mar 09 02:50:27 UTC 2026","","","",""
"","56188","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Mon Mar 09 02:56:00 UTC 2026","passed","Mon Mar 09 02:56:56 UTC 2026","","","",""
"","49608","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Mon Mar 09 02:55:10 UTC 2026","passed","Mon Mar 09 02:55:59 UTC 2026","","","",""
"","26661","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Mon Mar 09 02:52:06 UTC 2026","passed","Mon Mar 09 02:52:33 UTC 2026","","","",""
"","3530","TC-007.1: User should search for a product successfully","Product Browsing & Search","Mon Mar 09 02:56:57 UTC 2026","passed","Mon Mar 09 02:57:01 UTC 2026","","","",""
"","4275","TC-001.2: should display error message on invalid login","Authentication - Login","Mon Mar 09 02:49:52 UTC 2026","passed","Mon Mar 09 02:49:56 UTC 2026","","","",""
"","4660","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Mon Mar 09 02:49:29 UTC 2026","passed","Mon Mar 09 02:49:34 UTC 2026","","","",""
"","5437","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Mon Mar 09 02:49:56 UTC 2026","passed","Mon Mar 09 02:50:02 UTC 2026","","","",""
"","1483","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Mon Mar 09 02:50:36 UTC 2026","passed","Mon Mar 09 02:50:37 UTC 2026","","","",""
