"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","32702","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Tue Mar 31 22:44:55 UTC 2026","failed","Tue Mar 31 22:45:28 UTC 2026","","","",""
"","5475","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Tue Mar 31 22:42:10 UTC 2026","passed","Tue Mar 31 22:42:16 UTC 2026","","","",""
"","5430","TC-002.1: should register a new account with valid data","Authentication - Registration","Tue Mar 31 22:42:52 UTC 2026","passed","Tue Mar 31 22:42:58 UTC 2026","","","",""
"","6853","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Tue Mar 31 22:43:22 UTC 2026","failed","Tue Mar 31 22:43:29 UTC 2026","","","",""
"","4299","TC-001.2: should display error message on invalid login","Authentication - Login","Tue Mar 31 22:42:06 UTC 2026","passed","Tue Mar 31 22:42:10 UTC 2026","","","",""
"","68887","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Tue Mar 31 22:43:42 UTC 2026","passed","Tue Mar 31 22:44:51 UTC 2026","","","",""
"","6303","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Tue Mar 31 22:43:36 UTC 2026","failed","Tue Mar 31 22:43:42 UTC 2026","","","",""
"","21429","TC-001.1: should login with valid credentials","Authentication - Login","Tue Mar 31 22:41:45 UTC 2026","passed","Tue Mar 31 22:42:06 UTC 2026","","","",""
"","5340","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Tue Mar 31 22:41:38 UTC 2026","passed","Tue Mar 31 22:41:43 UTC 2026","","","",""
"","6300","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Tue Mar 31 22:43:29 UTC 2026","failed","Tue Mar 31 22:43:36 UTC 2026","","","",""
"","8066","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Tue Mar 31 22:43:03 UTC 2026","failed","Tue Mar 31 22:43:11 UTC 2026","","","",""
"","30807","TC-003.1: should logout successfully","Authentication - Logout","Tue Mar 31 22:42:17 UTC 2026","passed","Tue Mar 31 22:42:48 UTC 2026","","","",""
"","3733","TC-007.1: User should search for a product successfully","Product Browsing & Search","Tue Mar 31 22:46:00 UTC 2026","passed","Tue Mar 31 22:46:04 UTC 2026","","","",""
"","1589","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Tue Mar 31 22:42:58 UTC 2026","passed","Tue Mar 31 22:42:59 UTC 2026","","","",""
"","30282","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Tue Mar 31 22:45:28 UTC 2026","failed","Tue Mar 31 22:45:58 UTC 2026","","","",""
"","6856","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Tue Mar 31 22:43:11 UTC 2026","failed","Tue Mar 31 22:43:18 UTC 2026","","","",""
