"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5247","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Thu Apr 30 22:58:54 UTC 2026","passed","Thu Apr 30 22:58:59 UTC 2026","","","",""
"","1447","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Thu Apr 30 22:59:38 UTC 2026","passed","Thu Apr 30 22:59:39 UTC 2026","","","",""
"","32282","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Thu Apr 30 23:01:55 UTC 2026","failed","Thu Apr 30 23:02:28 UTC 2026","","","",""
"","6149","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Thu Apr 30 23:00:09 UTC 2026","failed","Thu Apr 30 23:00:15 UTC 2026","","","",""
"","7544","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Thu Apr 30 23:00:01 UTC 2026","failed","Thu Apr 30 23:00:09 UTC 2026","","","",""
"","7365","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Thu Apr 30 22:59:43 UTC 2026","failed","Thu Apr 30 22:59:50 UTC 2026","","","",""
"","18672","TC-001.1: should login with valid credentials","Authentication - Login","Thu Apr 30 22:58:31 UTC 2026","passed","Thu Apr 30 22:58:50 UTC 2026","","","",""
"","4125","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Thu Apr 30 22:58:25 UTC 2026","passed","Thu Apr 30 22:58:29 UTC 2026","","","",""
"","6175","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Thu Apr 30 23:00:15 UTC 2026","failed","Thu Apr 30 23:00:21 UTC 2026","","","",""
"","30273","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Thu Apr 30 23:01:25 UTC 2026","failed","Thu Apr 30 23:01:55 UTC 2026","","","",""
"","59859","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Thu Apr 30 23:00:21 UTC 2026","broken","Thu Apr 30 23:01:21 UTC 2026","","","",""
"","6692","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Thu Apr 30 22:59:50 UTC 2026","failed","Thu Apr 30 22:59:57 UTC 2026","","","",""
"","3479","TC-007.1: User should search for a product successfully","Product Browsing & Search","Thu Apr 30 23:02:29 UTC 2026","passed","Thu Apr 30 23:02:33 UTC 2026","","","",""
"","4677","TC-002.1: should register a new account with valid data","Authentication - Registration","Thu Apr 30 22:59:33 UTC 2026","passed","Thu Apr 30 22:59:38 UTC 2026","","","",""
"","28032","TC-003.1: should logout successfully","Authentication - Logout","Thu Apr 30 22:59:01 UTC 2026","passed","Thu Apr 30 22:59:29 UTC 2026","","","",""
"","4248","TC-001.2: should display error message on invalid login","Authentication - Login","Thu Apr 30 22:58:50 UTC 2026","passed","Thu Apr 30 22:58:54 UTC 2026","","","",""
