"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6247","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sat Mar 28 22:37:27 UTC 2026","passed","Sat Mar 28 22:37:34 UTC 2026","","","",""
"","72129","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sat Mar 28 22:39:40 UTC 2026","passed","Sat Mar 28 22:40:52 UTC 2026","","","",""
"","7118","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sat Mar 28 22:39:20 UTC 2026","failed","Sat Mar 28 22:39:27 UTC 2026","","","",""
"","3953","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sat Mar 28 22:42:02 UTC 2026","passed","Sat Mar 28 22:42:06 UTC 2026","","","",""
"","7954","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Sat Mar 28 22:39:01 UTC 2026","failed","Sat Mar 28 22:39:09 UTC 2026","","","",""
"","7129","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Sat Mar 28 22:39:09 UTC 2026","failed","Sat Mar 28 22:39:16 UTC 2026","","","",""
"","6316","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sat Mar 28 22:39:27 UTC 2026","failed","Sat Mar 28 22:39:33 UTC 2026","","","",""
"","30658","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sat Mar 28 22:41:30 UTC 2026","failed","Sat Mar 28 22:42:00 UTC 2026","","","",""
"","22502","TC-001.1: should login with valid credentials","Authentication - Login","Sat Mar 28 22:37:35 UTC 2026","passed","Sat Mar 28 22:37:58 UTC 2026","","","",""
"","6843","TC-002.1: should register a new account with valid data","Authentication - Registration","Sat Mar 28 22:38:48 UTC 2026","passed","Sat Mar 28 22:38:55 UTC 2026","","","",""
"","6331","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sat Mar 28 22:39:33 UTC 2026","failed","Sat Mar 28 22:39:40 UTC 2026","","","",""
"","34621","TC-003.1: should logout successfully","Authentication - Logout","Sat Mar 28 22:38:09 UTC 2026","passed","Sat Mar 28 22:38:44 UTC 2026","","","",""
"","33440","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sat Mar 28 22:40:56 UTC 2026","failed","Sat Mar 28 22:41:30 UTC 2026","","","",""
"","5440","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sat Mar 28 22:38:02 UTC 2026","passed","Sat Mar 28 22:38:08 UTC 2026","","","",""
"","4359","TC-001.2: should display error message on invalid login","Authentication - Login","Sat Mar 28 22:37:58 UTC 2026","passed","Sat Mar 28 22:38:02 UTC 2026","","","",""
"","1644","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sat Mar 28 22:38:55 UTC 2026","passed","Sat Mar 28 22:38:57 UTC 2026","","","",""
