"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30485","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Fri May 22 23:12:31 UTC 2026","failed","Fri May 22 23:13:02 UTC 2026","","","",""
"","20017","TC-001.1: should login with valid credentials","Authentication - Login","Fri May 22 23:09:36 UTC 2026","passed","Fri May 22 23:09:56 UTC 2026","","","",""
"","4480","TC-002.1: should register a new account with valid data","Authentication - Registration","Fri May 22 23:10:39 UTC 2026","passed","Fri May 22 23:10:44 UTC 2026","","","",""
"","4103","TC-001.2: should display error message on invalid login","Authentication - Login","Fri May 22 23:09:56 UTC 2026","passed","Fri May 22 23:10:00 UTC 2026","","","",""
"","28481","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Fri May 22 23:13:02 UTC 2026","failed","Fri May 22 23:13:30 UTC 2026","","","",""
"","4916","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Fri May 22 23:09:29 UTC 2026","passed","Fri May 22 23:09:34 UTC 2026","","","",""
"","60788","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Fri May 22 23:11:26 UTC 2026","broken","Fri May 22 23:12:27 UTC 2026","","","",""
"","1426","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Fri May 22 23:10:44 UTC 2026","passed","Fri May 22 23:10:45 UTC 2026","","","",""
"","28261","TC-003.1: should logout successfully","Authentication - Logout","Fri May 22 23:10:07 UTC 2026","passed","Fri May 22 23:10:35 UTC 2026","","","",""
"","5298","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Fri May 22 23:10:00 UTC 2026","passed","Fri May 22 23:10:06 UTC 2026","","","",""
"","6872","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Fri May 22 23:11:07 UTC 2026","failed","Fri May 22 23:11:14 UTC 2026","","","",""
"","6703","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Fri May 22 23:10:56 UTC 2026","failed","Fri May 22 23:11:03 UTC 2026","","","",""
"","6201","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Fri May 22 23:11:14 UTC 2026","failed","Fri May 22 23:11:20 UTC 2026","","","",""
"","3825","TC-007.1: User should search for a product successfully","Product Browsing & Search","Fri May 22 23:13:32 UTC 2026","passed","Fri May 22 23:13:36 UTC 2026","","","",""
"","6138","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Fri May 22 23:11:20 UTC 2026","failed","Fri May 22 23:11:26 UTC 2026","","","",""
"","7332","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Fri May 22 23:10:49 UTC 2026","failed","Fri May 22 23:10:56 UTC 2026","","","",""
