"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7295","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Sat Apr 18 22:43:33 UTC 2026","failed","Sat Apr 18 22:43:40 UTC 2026","","","",""
"","6700","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Sat Apr 18 22:43:40 UTC 2026","failed","Sat Apr 18 22:43:47 UTC 2026","","","",""
"","29078","TC-003.1: should logout successfully","Authentication - Logout","Sat Apr 18 22:42:50 UTC 2026","passed","Sat Apr 18 22:43:19 UTC 2026","","","",""
"","4417","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Sat Apr 18 22:42:14 UTC 2026","passed","Sat Apr 18 22:42:19 UTC 2026","","","",""
"","60093","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Sat Apr 18 22:44:10 UTC 2026","broken","Sat Apr 18 22:45:10 UTC 2026","","","",""
"","6837","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Sat Apr 18 22:43:51 UTC 2026","failed","Sat Apr 18 22:43:58 UTC 2026","","","",""
"","3441","TC-007.1: User should search for a product successfully","Product Browsing & Search","Sat Apr 18 22:46:14 UTC 2026","passed","Sat Apr 18 22:46:18 UTC 2026","","","",""
"","18671","TC-001.1: should login with valid credentials","Authentication - Login","Sat Apr 18 22:42:20 UTC 2026","passed","Sat Apr 18 22:42:39 UTC 2026","","","",""
"","1489","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Sat Apr 18 22:43:28 UTC 2026","passed","Sat Apr 18 22:43:29 UTC 2026","","","",""
"","6151","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Sat Apr 18 22:43:58 UTC 2026","failed","Sat Apr 18 22:44:04 UTC 2026","","","",""
"","5252","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Sat Apr 18 22:42:43 UTC 2026","passed","Sat Apr 18 22:42:48 UTC 2026","","","",""
"","29393","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Sat Apr 18 22:45:14 UTC 2026","failed","Sat Apr 18 22:45:44 UTC 2026","","","",""
"","5061","TC-002.1: should register a new account with valid data","Authentication - Registration","Sat Apr 18 22:43:23 UTC 2026","passed","Sat Apr 18 22:43:28 UTC 2026","","","",""
"","6173","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Sat Apr 18 22:44:04 UTC 2026","failed","Sat Apr 18 22:44:10 UTC 2026","","","",""
"","4096","TC-001.2: should display error message on invalid login","Authentication - Login","Sat Apr 18 22:42:39 UTC 2026","passed","Sat Apr 18 22:42:43 UTC 2026","","","",""
"","28917","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Sat Apr 18 22:45:44 UTC 2026","failed","Sat Apr 18 22:46:13 UTC 2026","","","",""
