"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4247","TC-001.2: should display error message on invalid login","Authentication - Login","Mon May 11 23:01:22 UTC 2026","passed","Mon May 11 23:01:26 UTC 2026","","","",""
"","29836","TC-006.2: User memverifikasi bahwa order tervalidasi terekam ke database profile","Checkout - User/Logged In Checkout","Mon May 11 23:04:36 UTC 2026","failed","Mon May 11 23:05:06 UTC 2026","","","",""
"","19702","TC-001.1: should login with valid credentials","Authentication - Login","Mon May 11 23:01:02 UTC 2026","passed","Mon May 11 23:01:22 UTC 2026","","","",""
"","61621","TC-005.4: User checkout tanpa login barang dari Category page","Checkout - Guest Checkout","Mon May 11 23:02:58 UTC 2026","broken","Mon May 11 23:04:00 UTC 2026","","","",""
"","6835","TC-008.2: User checkout menggunakan credit card dengan data TIDAK valid","Checkout - Credit Card Payment","Mon May 11 23:02:28 UTC 2026","failed","Mon May 11 23:02:35 UTC 2026","","","",""
"","3761","TC-007.1: User should search for a product successfully","Product Browsing & Search","Mon May 11 23:05:07 UTC 2026","passed","Mon May 11 23:05:11 UTC 2026","","","",""
"","6305","TC-005.3: checkout multiple variant multiple produk dari dashboard","Checkout - Guest Checkout","Mon May 11 23:02:52 UTC 2026","failed","Mon May 11 23:02:58 UTC 2026","","","",""
"","31442","TC-006.1: User (Login) checkout menggunakan email yang pre-filled di form","Checkout - User/Logged In Checkout","Mon May 11 23:04:04 UTC 2026","failed","Mon May 11 23:04:36 UTC 2026","","","",""
"","6987","TC-005.1: Flow Add to cart tanpa login - Satu produk dari dashboard","Checkout - Guest Checkout","Mon May 11 23:02:39 UTC 2026","failed","Mon May 11 23:02:46 UTC 2026","","","",""
"","5381","TC-001.3: should display toast error on invalid credentials","Authentication - Login","Mon May 11 23:01:26 UTC 2026","passed","Mon May 11 23:01:32 UTC 2026","","","",""
"","1773","TC-002.2: should display validation errors on invalid registration","Authentication - Registration","Mon May 11 23:02:14 UTC 2026","passed","Mon May 11 23:02:16 UTC 2026","","","",""
"","30360","TC-003.1: should logout successfully","Authentication - Logout","Mon May 11 23:01:33 UTC 2026","passed","Mon May 11 23:02:04 UTC 2026","","","",""
"","7815","TC-008.1: User checkout menggunakan credit card dengan data valid","Checkout - Credit Card Payment","Mon May 11 23:02:20 UTC 2026","failed","Mon May 11 23:02:28 UTC 2026","","","",""
"","6275","TC-005.2: checkout multiple variant dari dashboard","Checkout - Guest Checkout","Mon May 11 23:02:46 UTC 2026","failed","Mon May 11 23:02:52 UTC 2026","","","",""
"","6739","TC-002.1: should register a new account with valid data","Authentication - Registration","Mon May 11 23:02:07 UTC 2026","passed","Mon May 11 23:02:14 UTC 2026","","","",""
"","5922","TC-004.1: should verify forgot password flow and display error","Authentication - Forgot Password","Mon May 11 23:00:54 UTC 2026","passed","Mon May 11 23:01:00 UTC 2026","","","",""
